,Coin 0,Coin 1,Coin 2,Coin 3
4100,87.32783508--126.04384613,62.11323547--54.60277176,64.18927002--80.00016022,87.73829651--93.25330353
4101,87.28811646--126.25670624,62.44703293--54.60991287,63.97649384--80.32180786,87.59883118--93.15149689
4102,87.24353027--126.45693207,62.70426178--54.62558365,63.78540421--80.65151215,87.43695068--93.04949188
4103,87.19401550--126.64444733,62.89114761--54.64874649,63.61538315--80.98448944,87.25865173--92.95101166
4104,87.14027405--126.82486725,63.00649643--54.68078613,63.46548080--81.32351685,87.05863953--92.85596466
4105,87.08062744--127.00411224,63.02440643--54.72858810,63.33936310--81.67678070,86.82446289--92.76351929
4106,87.01432800--127.16400146,62.89388657--54.79897690,63.25814438--82.02169037,86.56985474--92.68354034
4107,86.94107056--127.29998016,62.59209061--54.89321518,63.23104858--82.34920502,86.29261780--92.61976624
4108,86.85885620--127.40813446,62.09041977--55.01563644,63.26686478--82.65453339,85.99024200--92.57560730
4109,86.76541138--127.48545837,61.34418488--55.17373657,63.37777710--82.93582916,85.65333557--92.55392456
4110,86.65735626--127.52462769,60.26781082--55.38182449,63.58802795--83.18871307,85.26581573--92.56010437
4111,86.52199554--127.51056671,58.83437729--55.64001846,63.90661621--83.40533447,84.83854675--92.60172272
4112,86.35590363--127.43865967,57.05961990--55.94268036,64.33084869--83.57913208,84.37803650--92.68051147
4113,86.15653992--127.30738068,54.96966934--56.28482056,64.85511780--83.70654297,83.89280701--92.79617310
4114,85.94331360--127.09639740,52.65774155--56.65983582,65.47533417--83.69563293,83.43785858--92.94555664
4115,85.74349213--126.77561188,50.22070312--57.04690933,66.19028473--83.44249725,83.07984924--93.11588287
4116,85.53492737--126.35055542,47.69390106--57.41027069,66.97898102--83.02290344,82.80834961--93.29283142
4117,85.28199005--125.85988617,45.17303085--57.77722549,67.86694336--82.49013519,82.70880127--93.48887634
4118,85.01362610--125.29346466,42.82316971--58.09569168,68.78050995--81.91047668,82.75008392--93.67218018
4119,84.77333832--124.64960480,41.18704605--58.23056030,69.49732971--81.39677429,82.92175293--93.78730011
4120,84.61977386--123.94998169,41.00031662--58.02767181,69.79429626--80.94087982,83.33218384--93.78893280
4121,84.69518280--123.32646179,42.26133347--57.53115463,69.67000580--80.47928619,83.92944336--93.72360229
4122,84.97313690--122.91669464,44.94641113--56.80180740,69.10763550--80.02947235,84.70874023--93.62516785
4123,85.45819092--122.84492493,48.41927719--56.04303360,68.28747559--79.57578278,85.56119537--93.56347656
4124,86.06143951--123.10256195,51.44148636--55.55221176,67.55578613--79.14945221,86.28919983--93.57473755
4125,86.60393524--123.53694916,53.82130432--55.28322983,66.92843628--78.95757294,86.83377838--93.56626892
4126,86.91872406--123.93160248,55.77833557--55.11650085,66.44073486--78.75304413,87.34436798--93.61547089
4127,87.14128876--124.26996613,57.31175995--54.95774841,66.05040741--78.65636444,87.68455505--93.64215088
4128,87.27523041--124.59500885,58.56125641--54.81239700,65.68914795--78.70737457,87.87200928--93.64028931
4129,87.34946442--124.90505219,59.56043625--54.70809174,65.35850525--78.84532928,87.96945190--93.61829376
4130,87.38546753--125.19847107,60.30613327--54.66299820,65.06850433--79.04461670,87.97898102--93.56491852
4131,87.38577271--125.46089935,60.91872406--54.63718414,64.79872131--79.28581238,87.95522308--93.48731232
4132,87.37132263--125.69213104,61.43236923--54.61923218,64.55408478--79.53789520,87.90396118--93.40470886
4133,87.34667969--125.91728973,61.88397217--54.60642624,64.31900787--79.82351685,87.80912781--93.31069946
4134,87.31134033--126.13732910,62.26800919--54.60467529,64.09443665--80.13773346,87.68193054--93.20951843
4135,87.26946259--126.34618378,62.56878281--54.61563492,63.89028168--80.46538544,87.52962494--93.10653687
4136,87.22174072--126.54381561,62.79613876--54.63518906,63.70617294--80.80228424,87.35649109--93.00420380
4137,87.16985321--126.72705841,62.95057678--54.66252518,63.54520035--81.13802338,87.17015076--92.90734863
4138,87.11385345--126.90568542,63.02750015--54.70020676,63.40530396--81.48148346,86.95764160--92.81380463
4139,87.05206299--127.07596588,62.98617172--54.75662613,63.29795837--81.82926178,86.71656799--92.72697449
4140,86.98336792--127.22664642,62.78477859--54.83691406,63.23912430--82.16727448,86.45134735--92.65344238
4141,86.90634155--127.35237885,62.39284897--54.94451523,63.23941040--82.48782349,86.15974426--92.59737396
4142,86.81834412--127.44707489,61.78400803--55.08266449,63.30766296--82.78422546,85.84240723--92.56291199
4143,86.71830750--127.50835419,60.90336990--55.26077652,63.45903778--83.05419159,85.48535156--92.55291748
4144,86.59975433--127.52510071,59.68112183--55.48921585,63.71413040--83.29081726,85.08256531--92.57401276
4145,86.45307922--127.48628998,58.09766388--55.76740646,64.07963562--83.48742676,84.64025879--92.63168335
4146,86.27377319--127.38741302,56.16708755--56.09055710,64.55305481--83.63890839,84.16531372--92.72743225
4147,86.05809021--127.22796631,53.93248367--56.45123291,65.12421417--83.74422455,83.67034912--92.86004639
4148,85.85207367--126.96414185,51.57889557--56.83526993,65.78539276--83.60385895,83.26741791--93.02088165
4149,85.65060425--126.60005951,49.09890366--57.21312714,66.53398132--83.27716827,82.94586182--93.19429016
4150,85.43273163--126.13159180,46.57583618--57.56084442,67.34757996--82.79317474,82.72644043--93.37216187
4151,85.15702057--125.61412048,44.10870361--57.92470932,68.27717590--82.21920776,82.72589111--93.57396698
4152,84.91458130--125.01405334,41.88427353--58.20448685,69.16540527--81.66075134,82.78965759--93.74076843
4153,84.66809082--124.32817078,40.91194534--58.17828751,69.68501282--81.19208527,83.08211517--93.79728699
4154,84.62632751--123.65127563,41.37398911--57.83901215,69.79578400--80.73834229,83.57071686--93.76629639
4155,84.79203796--123.10608673,43.23869705--57.24089432,69.48759460--80.27178192,84.24653625--93.68379211
4156,85.15340424--122.83397675,46.54233170--56.42647171,68.72727203--79.85332489,85.09796906--93.57788086
4157,85.72428894--122.92578888,49.89055252--55.78045654,67.93479919--79.35240936,85.92058563--93.56967163
4158,86.33444214--123.29971313,52.58560181--55.42008209,67.26278687--79.04331207,86.55355835--93.57847595
4159,86.76582336--123.71730042,54.75881577--55.20341110,66.69839478--78.84362030,87.08372498--93.58944702
4160,87.03256226--124.08117676,56.50734711--55.04279709,66.26293945--78.68517303,87.52101135--93.63137054
4161,87.21085358--124.41555786,57.88882828--54.89162064,65.88970184--78.66392517,87.77601624--93.64389801
4162,87.31152344--124.73801422,59.05768967--54.75386810,65.52965546--78.76906586,87.92653656--93.63067627
4163,87.37010193--125.04131317,59.92402267--54.68376160,65.22228241--78.92903900,87.98126221--93.59902954
4164,87.38908386--125.32012177,60.59917831--54.64953995,64.94384766--79.14852142,87.97489166--93.53196716
4165,87.38172913--125.56510162,61.15967941--54.62797165,64.68804169--79.39202118,87.93969727--93.45254517
4166,87.36261749--125.79191589,61.64051437--54.61239243,64.44956970--79.65823364,87.86761475--93.36481476
4167,87.33170319--126.01972961,62.07110214--54.60318375,64.21381378--79.96566772,87.75270081--93.26442719
4168,87.29267883--126.23444366,62.41498184--54.60864639,63.99834824--80.28671265,87.61492920--93.16247559
4169,87.24841309--126.43695831,62.68090057--54.62353134,63.80423737--80.61724854,87.45411682--93.05989075
4170,87.19914246--126.62624359,62.87489700--54.64617538,63.63163757--80.95108795,87.27685547--92.96066284
4171,87.14585114--126.80641174,62.99745560--54.67717361,63.48005676--81.28845978,87.08038330--92.86557770
4172,87.08705139--126.98553467,63.02812958--54.72266769,63.35104370--81.63954163,86.85061646--92.77291107
4173,87.02169800--127.14785004,62.91555405--54.79032516,63.26444244--81.98543549,86.59823608--92.69142151
4174,86.94927979--127.28708649,62.63241959--54.88213730,63.23117447--82.31572723,86.32254028--92.62555695
4175,86.86790466--127.39855194,62.15087509--55.00188828,63.26035309--82.62424469,86.02206421--92.57913208
4176,86.77538300--127.47898102,61.43291092--55.15571213,63.36264420--82.90826416,85.68978119--92.55506134
4177,86.66914368--127.52267456,60.39709091--55.35754395,63.56081390--83.16437531,85.30857849--92.55796814
4178,86.53753662--127.51470947,59.00385666--55.61021805,63.86740494--83.38459778,84.88575745--92.59556580
4179,86.37539673--127.44897461,57.26152420--55.90898514,64.28164673--83.56246185,84.42784119--92.67047119
4180,86.17942810--127.32350159,55.19828415--56.24799728,64.79712677--83.69453430,83.94390106--92.78259277
4181,85.96374512--127.12379456,52.89640808--56.62052536,65.40782166--83.71251678,83.47798157--92.92913818
4182,85.76342010--126.81354523,50.47878647--57.00754166,66.11196136--83.47753143,83.11291504--93.09780884
4183,85.55683899--126.40050507,47.95961380--57.37411118,66.89351654--83.07529449,82.83171082--93.27428436
4184,85.31085205--125.91410065,45.43391800--57.73868942,67.76875305--82.55081940,82.70928955--93.46768951
4185,85.03890991--125.35440063,43.05854416--58.06523132,68.68778992--81.96514130,82.74603271--93.65457916
4186,84.80084991--124.71929932,41.27770996--58.23477936,69.44760895--81.44200897,82.89018250--93.78187561
4187,84.62208557--124.01815033,40.94291687--58.06361771,69.78582001--80.98760223,83.27979279--93.79183960
4188,84.67607117--123.38168335,42.05517960--57.59498978,69.70558167--80.52891541,83.85595703--93.73243713
4189,84.93327332--122.94303131,44.58401489--56.89012146,69.19219208--80.07350159,84.61660767--93.63684082
4190,85.39497375--122.83245850,48.08048630--56.10644150,68.36632538--79.63266754,85.47639465--93.56221008
4191,85.99617004--123.06053925,51.17399597--55.58489990,67.62251282--79.17771149,86.22673035--93.57357025
4192,86.55896759--123.49179077,53.60424423--55.30609894,66.98936462--78.97018433,86.78475952--93.56985474
4193,86.89320374--123.89166260,55.59768677--55.13213730,66.48771667--78.76572418,87.29985046--93.61152649
4194,87.12338257--124.23355103,57.16778946--54.97305679,66.09022522--78.65668488,87.65851593--93.64115143
4195,87.26489258--124.56127167,58.43858337--54.82715225,65.72689819--78.69655609,87.85515594--93.64134216
4196,87.34280396--124.87438202,59.47575760--54.71445847,65.38834381--78.83081055,87.96383667--93.62072754
4197,87.38349915--125.16980743,60.24011993--54.66608047,65.09619904--79.02170563,87.98085785--93.57217407
4198,87.38706207--125.43511200,60.86199951--54.63917923,64.82537079--79.25907135,87.96022034--93.49606323
4199,87.37376404--125.66810608,61.38286209--54.62064743,64.57926178--79.50886536,87.91230011--93.41421509
4200,87.35014343--125.89356232,61.83955765--54.60725784,64.34362793--79.79105377,87.82118988--93.32125854
4201,87.31528473--126.11608887,62.23422241--54.60389328,64.11582947--80.10585785,87.69526672--93.21958923
4202,87.27384949--126.32592010,62.54249191--54.61410904,63.90960312--80.43235016,87.54588318--93.11682129
4203,87.22685242--126.52411652,62.77657700--54.63280106,63.72389984--80.76764679,87.37528992--93.01452637
4204,87.17552185--126.70803070,62.93836594--54.65913773,63.56101990--81.10235596,87.19116974--92.91739655
4205,87.12011719--126.88696289,63.02476120--54.69535065,63.41873932--81.44454956,86.98178101--92.82351685
4206,87.05882263--127.05980682,62.99794388--54.74970245,63.30663300--81.79421234,86.74182129--92.73515320
4207,86.99063110--127.21276855,62.81311035--54.82775497,63.24245453--82.13418579,86.47892761--92.66003418
4208,86.91445923--127.34091949,62.44246292--54.93219376,63.23624802--82.45652008,86.19068909--92.60212708
4209,86.82785034--127.43869781,61.85964584--55.06645584,63.29671097--82.75487518,85.87723541--92.56540680
4210,86.72948456--127.50382233,61.01209641--55.23962021,63.43820190--83.02742004,85.52525330--92.55258942
4211,86.61372375--127.52599335,59.82315445--55.46352768,63.68307495--83.26777649,85.12560272--92.57013702
4212,86.46963501--127.49291992,58.27283478--55.73740005,64.03810883--83.46916199,84.68637848--92.62413788
4213,86.29321289--127.40024567,56.37719345--56.05597305,64.50035095--83.62603760,84.21444702--92.71600342
4214,86.08111572--127.24741364,54.17634201--56.41223526,65.06040192--83.73678589,83.72161102--92.84468079
4215,85.87333679--126.99629974,51.83203506--56.79438400,65.71200562--83.62732697,83.30599213--93.00305176
4216,85.67240906--126.64252472,49.36019516--57.17501450,66.45320129--83.31805420,82.97546387--93.17602539
4217,85.45892334--126.18054962,46.83803177--57.52205658,67.25653839--82.84558868,82.73918152--93.35178375
4218,85.18735504--125.67378998,44.35204315--57.89247894,68.18218994--82.28385162,82.71951294--93.55515289
4219,84.93714142--125.08146667,42.09444809--58.18219757,69.07763672--81.71942902,82.77882385--93.72604370
4220,84.69155121--124.40541840,40.96105957--58.19495010,69.64533234--81.23898315,83.04296112--93.79695892
4221,84.62322998--123.72066498,41.26688004--57.88769913,69.80160522--80.78391266,83.51341248--93.77281189
4222,84.76655579--123.15450287,43.00194931--57.30884933,69.53276062--80.32074738,84.17185974--93.69219208
4223,85.10993958--122.84991455,46.16744232--56.51305008,68.81709290--79.89344025,85.00794983--93.58885956
4224,85.66323853--122.90454102,49.55437088--55.83906174,68.01591492--79.40256500,85.83908081--93.56790161
4225,86.27326965--123.25398254,52.32999420--55.44883347,67.32858276--79.06652069,86.49443817--93.57787323
4226,86.73126984--123.67607880,54.55358887--55.21973801,66.74794006--78.86824036,87.02796936--93.58354187
4227,87.00823975--124.04802704,56.34672928--55.05943298,66.30243683--78.69902802,87.48270416--93.62817383
4228,87.19611359--124.38237762,57.76002884--54.90650558,65.92630768--78.66007996,87.75722504--93.64404297
4229,87.30412292--124.70520782,58.94779968--54.76630783,65.56588745--78.75334930,87.91577911--93.63341522
4230,87.36610413--125.01029968,59.84304047--54.68885040,65.25337219--78.90863037,87.97946930--93.60406494
4231,87.38861847--125.29293060,60.53453445--54.65223694,64.97179413--79.12464142,87.97621155--93.53960419
4232,87.38280487--125.54180145,61.10617065--54.63000488,64.71286774--79.36764526,87.94365692--93.46057892
4233,87.36478424--125.76905823,61.59344864--54.61394119,64.47349548--79.62998199,87.87672424--93.37418365
4234,87.33533478--125.99614716,62.02908325--54.60372925,64.23790741--79.93235016,87.76634216--93.27523041
4235,87.29711914--126.21213531,62.38226700--54.60754776,64.02028656--80.25193787,87.63088989--93.17341614
4236,87.25334167--126.41645813,62.65659714--54.62154388,63.82353973--80.58242798,87.47159576--93.07048798
4237,87.20436096--126.60769653,62.85807800--54.64356232,63.64825821--80.91718292,87.29521179--92.97048950
4238,87.15141296--126.78823090,62.98794174--54.67364883,63.49467087--81.25380707,87.10147858--92.87512207
4239,87.09332275--126.96726227,63.03026962--54.71712494,63.36291504--81.60307312,86.87585449--92.78220367
4240,87.02885437--127.13156128,62.93496704--54.78206635,63.27126312--81.94948578,86.62612915--92.69939423
4241,86.95732117--127.27373505,62.67102432--54.87123108,63.23189163--82.28193665,86.35252380--92.63160706
4242,86.87694550--127.38856506,62.20997620--54.98824692,63.25438690--82.59342194,86.05397034--92.58290863
4243,86.78540039--127.47224426,61.51828384--55.13823700,63.34854126--82.88033295,85.72552490--92.55643463
4244,86.68073273--127.52021027,60.52015686--55.33429337,63.53536987--83.13975525,85.35013580--92.55621338
4245,86.55239105--127.51817322,59.16723633--55.58130646,63.82986069--83.36377716,84.93199158--92.58988953
4246,86.39408875--127.45867157,57.46015930--55.87564087,64.23328400--83.54584503,84.47729492--92.66084290
4247,86.20188141--127.33919525,55.42551804--56.21130371,64.73957825--83.68238068,83.99504089--92.76930237
4248,85.98425293--127.15040588,53.13249969--56.58156586,65.34138489--83.72828674,83.51829529--92.91297913
4249,85.78332520--126.85005951,50.73317337--56.96849442,66.03527832--83.51045990,83.14656830--93.08007812
4250,85.57852173--126.44860077,48.22181702--57.33795166,66.80976868--83.12510681,82.85588074--93.25590515
